Year,Month,Community,Category,Patient Count
2018,1,ABBEYDALE,Asthma,22
2018,2,ABBEYDALE,Asthma,16
2018,3,ABBEYDALE,Asthma,22
2018,4,ABBEYDALE,Asthma,35
2018,5,ABBEYDALE,Asthma,39
2018,6,ABBEYDALE,Asthma,39
2018,7,ABBEYDALE,Asthma,27
2018,8,ABBEYDALE,Asthma,32
2018,9,ABBEYDALE,Asthma,30
2018,10,ABBEYDALE,Asthma,42
2018,11,ABBEYDALE,Asthma,27
2018,12,ABBEYDALE,Asthma,30
2019,1,ABBEYDALE,Asthma,32
2019,2,ABBEYDALE,Asthma,23
2019,3,ABBEYDALE,Asthma,46
2019,4,ABBEYDALE,Asthma,35
2019,5,ABBEYDALE,Asthma,30
2019,6,ABBEYDALE,Asthma,55
2019,7,ABBEYDALE,Asthma,65
2019,8,ABBEYDALE,Asthma,30
2019,9,ABBEYDALE,Asthma,35
2019,10,ABBEYDALE,Asthma,30
2019,11,ABBEYDALE,Asthma,30
2019,12,ABBEYDALE,Asthma,22
2020,1,ABBEYDALE,Asthma,18
2020,2,ABBEYDALE,Asthma,20
2020,3,ABBEYDALE,Asthma,24
2020,4,ABBEYDALE,Asthma,34
2020,5,ABBEYDALE,Asthma,51
2020,6,ABBEYDALE,Asthma,33
2020,7,ABBEYDALE,Asthma,37
2020,8,ABBEYDALE,Asthma,47
2020,9,ABBEYDALE,Asthma,39
2020,10,ABBEYDALE,Asthma,26
2020,11,ABBEYDALE,Asthma,17
2020,12,ABBEYDALE,Asthma,34
2021,1,ABBEYDALE,Asthma,23
2021,2,ABBEYDALE,Asthma,19
2021,3,ABBEYDALE,Asthma,28
2021,4,ABBEYDALE,Asthma,44
2021,5,ABBEYDALE,Asthma,34
2021,6,ABBEYDALE,Asthma,43
2021,7,ABBEYDALE,Asthma,33
2021,8,ABBEYDALE,Asthma,25
2021,9,ABBEYDALE,Asthma,36
2021,10,ABBEYDALE,Asthma,33
2021,11,ABBEYDALE,Asthma,25
2021,12,ABBEYDALE,Asthma,22
2022,1,ABBEYDALE,Asthma,20
2022,2,ABBEYDALE,Asthma,17
2022,3,ABBEYDALE,Asthma,23
2022,4,ABBEYDALE,Asthma,26
2022,5,ABBEYDALE,Asthma,29
2022,6,ABBEYDALE,Asthma,44
2022,7,ABBEYDALE,Asthma,22
2022,8,ABBEYDALE,Asthma,40
2022,9,ABBEYDALE,Asthma,15
2022,10,ABBEYDALE,Asthma,19
2022,11,ABBEYDALE,Asthma,14
2022,12,ABBEYDALE,Asthma,20
2023,1,ABBEYDALE,Asthma,24
2023,2,ABBEYDALE,Asthma,14
2023,3,ABBEYDALE,Asthma,19
2023,4,ABBEYDALE,Asthma,20
2023,5,ABBEYDALE,Asthma,35
2023,6,ABBEYDALE,Asthma,33
2023,7,ABBEYDALE,Asthma,31
2023,8,ABBEYDALE,Asthma,30
2023,9,ABBEYDALE,Asthma,28
2023,10,ABBEYDALE,Asthma,29
2023,11,ABBEYDALE,Asthma,22
2023,12,ABBEYDALE,Asthma,23
2024,1,ABBEYDALE,Asthma,20
2024,2,ABBEYDALE,Asthma,20
2018,1,ACADIA,Asthma,95
2018,2,ACADIA,Asthma,77
2018,3,ACADIA,Asthma,75
2018,4,ACADIA,Asthma,96
2018,5,ACADIA,Asthma,101
2018,6,ACADIA,Asthma,91
2018,7,ACADIA,Asthma,96
2018,8,ACADIA,Asthma,105
2018,9,ACADIA,Asthma,62
2018,10,ACADIA,Asthma,83
2018,11,ACADIA,Asthma,80
2018,12,ACADIA,Asthma,97
2019,1,ACADIA,Asthma,128
2019,2,ACADIA,Asthma,87
2019,3,ACADIA,Asthma,119
2019,4,ACADIA,Asthma,78
2019,5,ACADIA,Asthma,77
2019,6,ACADIA,Asthma,90
2019,7,ACADIA,Asthma,130
2019,8,ACADIA,Asthma,98
2019,9,ACADIA,Asthma,92
2019,10,ACADIA,Asthma,87
2019,11,ACADIA,Asthma,116
2019,12,ACADIA,Asthma,115
2020,1,ACADIA,Asthma,109
2020,2,ACADIA,Asthma,126
2020,3,ACADIA,Asthma,99
2020,4,ACADIA,Asthma,110
2020,5,ACADIA,Asthma,116
2020,6,ACADIA,Asthma,82
2020,7,ACADIA,Asthma,94
2020,8,ACADIA,Asthma,90
2020,9,ACADIA,Asthma,80
2020,10,ACADIA,Asthma,72
2020,11,ACADIA,Asthma,65
2020,12,ACADIA,Asthma,62
2021,1,ACADIA,Asthma,61
2021,2,ACADIA,Asthma,45
2021,3,ACADIA,Asthma,70
2021,4,ACADIA,Asthma,95
2021,5,ACADIA,Asthma,81
2021,6,ACADIA,Asthma,89
2021,7,ACADIA,Asthma,101
2021,8,ACADIA,Asthma,66
2021,9,ACADIA,Asthma,78
2021,10,ACADIA,Asthma,61
2021,11,ACADIA,Asthma,73
2021,12,ACADIA,Asthma,74
2022,1,ACADIA,Asthma,70
2022,2,ACADIA,Asthma,79
2022,3,ACADIA,Asthma,62
2022,4,ACADIA,Asthma,81
2022,5,ACADIA,Asthma,87
2022,6,ACADIA,Asthma,81
2022,7,ACADIA,Asthma,76
2022,8,ACADIA,Asthma,80
2022,9,ACADIA,Asthma,84
2022,10,ACADIA,Asthma,71
2022,11,ACADIA,Asthma,77
2022,12,ACADIA,Asthma,83
2023,1,ACADIA,Asthma,82
2023,2,ACADIA,Asthma,74
2023,3,ACADIA,Asthma,87
2023,4,ACADIA,Asthma,98
2023,5,ACADIA,Asthma,78
2023,6,ACADIA,Asthma,89
2023,7,ACADIA,Asthma,60
2023,8,ACADIA,Asthma,71
2023,9,ACADIA,Asthma,94
2023,10,ACADIA,Asthma,71
2023,11,ACADIA,Asthma,59
2023,12,ACADIA,Asthma,63
2024,1,ACADIA,Asthma,57
2024,2,ACADIA,Asthma,59
2018,1,ALBERT PARK/RADISSON HEIGHTS,Asthma,102
2018,2,ALBERT PARK/RADISSON HEIGHTS,Asthma,61
2018,3,ALBERT PARK/RADISSON HEIGHTS,Asthma,94
2018,4,ALBERT PARK/RADISSON HEIGHTS,Asthma,106
2018,5,ALBERT PARK/RADISSON HEIGHTS,Asthma,143
2018,6,ALBERT PARK/RADISSON HEIGHTS,Asthma,123
2018,7,ALBERT PARK/RADISSON HEIGHTS,Asthma,126
2018,8,ALBERT PARK/RADISSON HEIGHTS,Asthma,109
